dataset,feature,sort_direction,full_gain_pt,best_coverage_ge_20,best_n,best_threshold,best_mrr_stage1,best_mrr_stage2,best_delta_mrr,best_gain_pt,gain_lift_vs_full
FB15k-237,avg_rules_per_candidate,asc,0.010000388562639406,0.84,34288,135.02884615384616,0.3700510897023747,0.37398410745838434,0.003933017756009627,0.010628310158937504,0.0006279215962980977
FB15k-237,rule_weight_top3_sum,desc,0.010000388562531048,0.84,34288,1.007473126381123,0.37620655272305553,0.3802041835990081,0.0039976308759525625,0.010626159611035302,0.0006257710485042534
FB15k-237,rule_weight_top3_mean,desc,0.010000388562531048,0.84,34288,0.3359045798960666,0.3761920484390036,0.38018911383321663,0.003997065394213017,0.010625066135232508,0.0006246775727014597
FB15k-237,topk_rule_weight,desc,0.010000388562531048,0.84,34288,0.3359045798960666,0.3761920484390036,0.38018911383321663,0.003997065394213017,0.010625066135232508,0.0006246775727014597
FB15k-237,rule_mass,asc,0.010000388562692253,0.76,31022,511.1386576033024,0.4011752138570723,0.40541989243880266,0.004244678581730388,0.01058061025485646,0.0005802216921642067
FB15k-237,num_candidate_rule_edges,asc,0.01000038856261587,0.92,37553,19479.0,0.36949036625213094,0.37332645688354266,0.003836090631411715,0.010382112720075831,0.0003817241574599617
FB15k-237,neg_dep_ratio,asc,0.010000388562700024,0.98,40003,1.0,0.34381323943004494,0.3473662430345168,0.0035530036044718605,0.010334109327383212,0.00033372076468318745
FB15k-237,pos_dep_ratio,asc,0.01000038856265939,0.92,37553,1.0,0.35368810045259685,0.3572825821714783,0.003594481718881437,0.01016285737145739,0.00016246880879799974
FB15k-237,candidate_dep_coverage,asc,0.010000388562711127,0.98,40003,1.0,0.3534563295529885,0.35704653981762297,0.0035902102646344636,0.010157436617912463,0.00015704805520133647
FB15k-237,dep_candidate_ratio,asc,0.010000388562711127,0.98,40003,1.0,0.3534563295529885,0.35704653981762297,0.0035902102646344636,0.010157436617912463,0.00015704805520133647
FB15k-237,num_candidates,asc,0.01000038856270713,0.98,40003,166.0,0.3548307176648767,0.358430606308525,0.003599888643648297,0.010145369226596257,0.00014498066388912711
FB15k-237,effective_candidates,asc,0.010000388562601215,0.98,40003,165.96783336299018,0.35483071766488616,0.3584306063084965,0.0035998886436103272,0.01014536922648901,0.00014498066388779485
FB15k-237,s1_entropy,asc,0.010000388562601215,0.98,40003,5.111793994658012,0.35483071766488616,0.3584306063084965,0.0035998886436103272,0.01014536922648901,0.00014498066388779485
FB15k-237,rule_dominance_ratio,desc,0.010000388562667162,0.98,40003,0.0006930222283272,0.3568434355391663,0.3604522508697924,0.0036088153306260695,0.010113161603136689,0.00011277304046952707
FB15k-237,max_negative_dep,asc,0.01000038856269403,0.98,40003,1531.0,0.3559358655614623,0.35950453303145447,0.0035686674699921817,0.010026153066544419,2.576450385038953e-05
FB15k-237,max_candidate_dep_score,asc,0.010000388562742657,1.0,40819,6.011376100000017,0.3521072717743722,0.3556284813078831,0.0035212095335109272,0.010000388562742657,0.0
FB15k-237,net_dep_mass,asc,0.010000388562705353,1.0,40819,456.47989,0.35210727177437484,0.3556284813078727,0.003521209533497882,0.010000388562705353,0.0
FB15k-237,dep_rule_ratio,asc,0.010000388562703577,1.0,40819,3.1150427932672287,0.35210727177439355,0.355628481307891,0.003521209533497438,0.010000388562703577,0.0
FB15k-237,dep_density,asc,0.010000388562703355,1.0,40819,0.6505747126436782,0.3521072717743934,0.3556284813078907,0.003521209533497327,0.010000388562703355,0.0
